Fecha,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Id_Provincia
2016-06-30,Catamarca,38551,33564,2820,141,2026,3
2016-06-30,Chaco,103002,89678,7534,378,5412,4
2016-06-30,Chubut,115321,100403,8435,423,6060,5
2016-06-30,Córdoba,703322,612339,51446,2581,36956,6
2016-06-30,Corrientes,102444,89192,7493,376,5383,7
2016-06-30,Entre Ríos,225017,195908,16459,826,11824,8
2016-06-30,Formosa,40743,35472,2980,150,2141,9
2016-06-30,Jujuy,56381,49087,4124,207,2963,10
2016-06-30,La Pampa,81939,71338,5994,301,4306,11
2016-06-30,La Rioja,37869,32970,2770,139,1990,12
2016-06-30,Mendoza,370071,322197,27070,1358,19446,13
2016-06-30,Misiones,110533,96234,8085,406,5808,14
2016-06-30,Neuquén,98956,86155,7238,363,5200,15
2016-06-30,Río Negro,141053,122805,10318,518,7412,16
2016-06-30,Salta,139208,121199,10183,511,7315,17
2016-06-30,San Juan,107299,93418,7849,394,5638,18
2016-06-30,San Luis,53178,46299,3890,195,2794,19
2016-06-30,Santa Cruz,44254,38530,3237,162,2325,20
2016-06-30,Santa Fe,741843,645875,54264,2723,38981,21
2016-06-30,Santiago del Estero,66024,57484,4829,242,3469,22
2016-06-30,Tierra del Fuego,37976,33064,2778,139,1995,23
2016-06-30,Tucumán,210228,183031,15378,772,11047,24
2016-03-31,Buenos Aires,4872542,4259081,343205,18007,252249,1
2016-03-31,Capital Federal,1608800,1406249,113318,5946,83287,2
2016-03-31,Catamarca,38665,33797,2723,143,2002,3
2016-03-31,Chaco,102077,89226,7190,377,5284,4
2016-03-31,Chubut,122592,107157,8635,453,6347,5
2016-03-31,Córdoba,702744,614267,49499,2597,36381,6
2016-03-31,Corrientes,102049,89201,7188,377,5283,7
2016-03-31,Entre Ríos,223126,195034,15716,825,11551,8
2016-03-31,Formosa,41139,35959,2898,152,2130,9
2016-03-31,Jujuy,56418,49314,3974,209,2921,10
2016-03-31,La Pampa,83364,72868,5872,308,4316,11
2016-03-31,La Rioja,37770,33015,2660,140,1955,12
2016-03-31,Mendoza,381118,333135,26845,1408,19730,13
2016-03-31,Misiones,115189,100687,8113,426,5963,14
2016-03-31,Neuquén,101846,89023,7174,376,5273,15
2016-03-31,Río Negro,145598,127267,10255,538,7538,16
2016-03-31,Salta,139346,121802,9815,515,7214,17
2016-03-31,San Juan,114113,99745,8038,422,5908,18
2016-03-31,San Luis,53797,47024,3789,199,2785,19
2016-03-31,Santa Cruz,47233,41286,3327,175,2445,20
2016-03-31,Santa Fe,741856,648454,52254,2742,38406,21
2016-03-31,Santiago del Estero,64481,56363,4542,238,3338,22
2016-03-31,Tierra del Fuego,38952,34047,2744,144,2017,23
2016-03-31,Tucumán,211561,184925,14902,782,10952,24
2015-12-31,Buenos Aires,4713888,3960199,474122,16615,262952,1
2015-12-31,Capital Federal,1572421,1321012,158154,5542,87713,2
2015-12-31,Catamarca,39268,32990,3950,138,2190,3
2015-12-31,Chaco,103362,86836,10396,364,5766,4
2015-12-31,Chubut,110994,93247,11164,391,6192,5
2015-12-31,Córdoba,721431,606084,72561,2543,40243,6
2015-12-31,Corrientes,107615,90409,10824,379,6003,7
2015-12-31,Entre Ríos,228781,192202,23011,806,12762,8
2015-12-31,Formosa,41567,34920,4181,147,2319,9
2015-12-31,Jujuy,56957,47850,5729,201,3177,10
2015-12-31,La Pampa,79736,66987,8020,281,4448,11
2015-12-31,La Rioja,38574,32406,3880,136,2152,12
2015-12-31,Mendoza,361160,303416,36325,1273,20146,13
2015-12-31,Misiones,111733,93868,11238,394,6233,14
2015-12-31,Neuquén,108302,90986,10893,382,6041,15
2015-12-31,Río Negro,135095,113495,13588,476,7536,16
2015-12-31,Salta,141131,118566,14195,497,7873,17
2015-12-31,San Juan,104387,87697,10499,368,5823,18
2015-12-31,San Luis,53012,44536,5332,187,2957,19
2015-12-31,Santa Cruz,52927,44465,5323,187,2952,20
2015-12-31,Santa Fe,758242,637008,76264,2673,42297,21
2015-12-31,Santiago del Estero,68531,57573,6893,242,3823,22
2015-12-31,Tierra del Fuego,35528,29848,3573,125,1982,23
2015-12-31,Tucumán,213717,179546,21496,753,11922,24
2015-09-30,Buenos Aires,4713132,3922463,513849,16521,260299,1
2015-09-30,Capital Federal,1627395,1354386,177427,5704,89878,2
2015-09-30,Catamarca,39243,32660,4278,138,2167,3
2015-09-30,Chaco,107211,89225,11689,376,5921,4
2015-09-30,Chubut,110101,91630,12004,386,6081,5
2015-09-30,Córdoba,727761,605673,79344,2551,40193,6
2015-09-30,Corrientes,110808,92219,12081,388,6120,7
2015-09-30,Entre Ríos,235242,195778,25647,825,12992,8
2015-09-30,Formosa,41803,34789,4558,147,2309,9
2015-09-30,Jujuy,56787,47261,6191,199,3136,10
2015-09-30,La Pampa,78651,65456,8575,276,4344,11
2015-09-30,La Rioja,38651,32167,4214,135,2135,12
2015-09-30,Mendoza,358373,298253,39072,1256,19792,13
2015-09-30,Misiones,113211,94219,12343,397,6252,14
2015-09-30,Neuquén,98784,82212,10770,346,5456,15
2015-09-30,Río Negro,133855,111399,14594,469,7393,16
2015-09-30,Salta,141105,117433,15384,495,7793,17
2015-09-30,San Juan,103306,85976,11263,362,5705,18
2015-09-30,San Luis,53069,44166,5786,186,2931,19
2015-09-30,Santa Cruz,60005,49939,6542,210,3314,20
2015-09-30,Santa Fe,766859,638212,83607,2688,42352,21
2015-09-30,Santiago del Estero,69165,57562,7541,242,3820,22
2015-09-30,Tierra del Fuego,35152,29256,3832,123,1941,23
2015-09-30,Tucumán,213481,177668,23275,748,11790,24
2015-06-30,Buenos Aires,4665956,3872029,515120,16074,262733,1
2015-06-30,Capital Federal,1654650,1373106,182673,5700,93171,2
2015-06-30,Catamarca,39141,32481,4321,135,2204,3
2015-06-30,Chaco,104243,86506,11508,359,5870,4
2015-06-30,Chubut,107612,89302,11880,371,6059,5
2015-06-30,Córdoba,724175,600954,79949,2495,40777,6
2015-06-30,Corrientes,108530,90063,11982,374,6111,7
2015-06-30,Entre Ríos,229823,190718,25372,792,12941,8
2015-06-30,Formosa,41848,34728,4620,144,2356,9
2015-06-30,Jujuy,56443,46840,6231,194,3178,10
2015-06-30,La Pampa,78106,64816,8623,269,4398,11
2015-06-30,La Rioja,38903,32283,4295,134,2191,12
2015-06-30,Mendoza,350326,290717,38676,1207,19726,13
2015-06-30,Misiones,110526,91719,12202,381,6224,14
2015-06-30,Neuquén,97708,81082,10787,337,5502,15
2015-06-30,Río Negro,131424,109062,14509,453,7400,16
2015-06-30,Salta,140955,116971,15561,486,7937,17
2015-06-30,San Juan,100775,83628,11126,347,5674,18
2015-06-30,San Luis,52860,43866,5836,182,2976,19
2015-06-30,Santa Cruz,58897,48876,6502,203,3316,20
2015-06-30,Santa Fe,764496,634414,84400,2634,43048,21
2015-06-30,Santiago del Estero,70102,58175,7739,241,3947,22
2015-06-30,Tierra del Fuego,34186,28369,3774,118,1925,23
2015-06-30,Tucumán,212182,176078,23425,731,11948,24
2015-03-31,Buenos Aires,4801996,3979224,540095,17562,265115,1
2015-03-31,Capital Federal,1634130,1354140,183795,5976,90219,2
2015-03-31,Catamarca,39142,32436,4402,143,2161,3
2015-03-31,Chaco,104250,86388,11725,381,5756,4
2015-03-31,Chubut,104281,86414,11729,381,5757,5
2015-03-31,Córdoba,729084,604164,82002,2666,40252,6
2015-03-31,Corrientes,108534,89938,12207,397,5992,7
2015-03-31,Entre Ríos,229839,190458,25851,841,12689,8
2015-03-31,Formosa,41854,34683,4707,153,2311,9
2015-03-31,Jujuy,56446,46775,6349,206,3116,10
2015-03-31,La Pampa,76862,63693,8645,281,4243,11
2015-03-31,La Rioja,38902,32237,4375,142,2148,12
2015-03-31,Mendoza,339093,280993,38139,1240,18721,13
2015-03-31,Misiones,110526,91589,12431,404,6102,14
2015-03-31,Neuquén,96099,79633,10809,351,5306,15
2015-03-31,Río Negro,127343,105523,14323,466,7031,16
2015-03-31,Salta,140946,116796,15853,515,7782,17
2015-03-31,San Juan,98340,81490,11061,360,5429,18
2015-03-31,San Luis,52039,43123,5853,190,2873,19
2015-03-31,Santa Cruz,57685,47801,6488,211,3185,20
2015-03-31,Santa Fe,766506,635174,86211,2803,42318,21
2015-03-31,Santiago del Estero,70101,58091,7884,256,3870,22
2015-03-31,Tierra del Fuego,33423,27697,3759,122,1845,23
2015-03-31,Tucumán,212265,175896,23874,776,11719,24
2014-12-31,Buenos Aires,4463139,3680053,509659,15264,258163,1
2014-12-31,Capital Federal,1615174,1331781,184442,5524,93427,2
2014-12-31,Catamarca,39423,32506,4502,135,2280,3
2014-12-31,Chaco,105378,86890,12033,360,6095,4
2014-12-31,Chubut,99562,82093,11369,341,5759,5
2014-12-31,Córdoba,731926,603505,83581,2503,42337,6
2014-12-31,Corrientes,105219,86758,12015,360,6086,7
2014-12-31,Entre Ríos,230049,189685,26270,787,13307,8
2014-12-31,Formosa,42133,34741,4811,144,2437,9
2014-12-31,Jujuy,56456,46550,6447,193,3266,10
2014-12-31,La Pampa,73063,60244,8343,250,4226,11
2014-12-31,La Rioja,39162,32291,4472,134,2265,12
2014-12-31,Mendoza,327635,270148,37414,1121,18952,13
2014-12-31,Misiones,111784,92171,12765,382,6466,14
2014-12-31,Neuquén,93902,77426,10723,321,5432,15
2014-12-31,Río Negro,123365,101720,14087,422,7136,16
2014-12-31,Salta,141211,116435,16125,483,8168,17
2014-12-31,San Juan,95135,78443,10864,325,5503,18
2014-12-31,San Luis,51237,42247,5851,175,2964,19
2014-12-31,Santa Cruz,41523,34237,4742,142,2402,20
2014-12-31,Santa Fe,770455,635273,87981,2635,44566,21
2014-12-31,Santiago del Estero,70523,58150,8053,241,4079,22
2014-12-31,Tierra del Fuego,32912,27137,3758,113,1904,23
2014-12-31,Tucumán,212990,175620,24322,728,12320,24
2014-09-30,Buenos Aires,4405762,3631816,500343,14902,258701,1
2014-09-30,Capital Federal,1607082,1324771,182509,5436,94366,2
2014-09-30,Catamarca,39453,32522,4481,133,2317,3
2014-09-30,Chaco,105864,87267,12023,358,6216,4
2014-09-30,Chubut,98074,80845,11138,332,5759,5
2014-09-30,Córdoba,733130,604343,83258,2480,43049,6
2014-09-30,Corrientes,105505,86971,11982,357,6195,7
2014-09-30,Entre Ríos,230563,190061,26184,780,13538,8
2014-09-30,Formosa,42310,34878,4805,143,2484,9
2014-09-30,Jujuy,56366,46464,6401,191,3310,10
2014-09-30,La Pampa,72155,59480,8194,244,4237,11
2014-09-30,La Rioja,39373,32457,4471,133,2312,12
2014-09-30,Mendoza,320228,263975,36367,1083,18803,13
2014-09-30,Misiones,111998,92324,12719,379,6576,14
2014-09-30,Neuquén,92775,76477,10536,314,5448,15
2014-09-30,Río Negro,121350,100033,13781,410,7126,16
2014-09-30,Salta,141312,116488,16048,478,8298,17
2014-09-30,San Juan,93056,76709,10568,315,5464,18
2014-09-30,San Luis,50779,41858,5767,172,2982,19
2014-09-30,Santa Cruz,41015,33810,4658,139,2408,20
2014-09-30,Santa Fe,772744,636998,87757,2614,45375,21
2014-09-30,Santiago del Estero,70719,58296,8031,239,4153,22
2014-09-30,Tierra del Fuego,32698,26954,3713,111,1920,23
2014-09-30,Tucumán,212958,175548,24185,720,12505,24
2014-06-30,Buenos Aires,4379382,3610509,492119,14373,262381,1
2014-06-30,Capital Federal,1602485,1321143,180074,5259,96009,2
2014-06-30,Catamarca,39351,32442,4422,129,2358,3
2014-06-30,Chaco,102310,84347,11497,336,6130,4
2014-06-30,Chubut,97603,80467,10968,320,5848,5
2014-06-30,Córdoba,737107,607696,82830,2419,44162,6
2014-06-30,Corrientes,102628,84609,11533,337,6149,7
2014-06-30,Entre Ríos,223774,184487,25146,734,13407,8
2014-06-30,Formosa,42246,34829,4747,139,2531,9
2014-06-30,Jujuy,56187,46323,6314,184,3366,10
2014-06-30,La Pampa,72837,60049,8185,239,4364,11
2014-06-30,La Rioja,39474,32543,4436,130,2365,12
2014-06-30,Mendoza,320351,264109,35998,1051,19193,13
2014-06-30,Misiones,110906,91434,12463,364,6645,14
2014-06-30,Neuquén,92792,76501,10427,305,5559,15
2014-06-30,Río Negro,121250,99963,13625,398,7264,16
2014-06-30,Salta,141122,116346,15858,463,8455,17
2014-06-30,San Juan,92439,76210,10388,303,5538,18
2014-06-30,San Luis,51093,42123,5741,168,3061,19
2014-06-30,Santa Cruz,40728,33577,4577,134,2440,20
2014-06-30,Santa Fe,767767,632973,86275,2520,45999,21
2014-06-30,Santiago del Estero,70616,58218,7935,232,4231,22
2014-06-30,Tierra del Fuego,32631,26902,3667,107,1955,23
2014-06-30,Tucumán,211913,174709,23813,695,12696,24
2014-03-31,Buenos Aires,4385408,3622153,488810,14179,260266,1
2014-03-31,Capital Federal,1604914,1325588,178888,5189,95249,2
2014-03-31,Catamarca,39318,32476,4382,127,2333,3
2014-03-31,Chaco,102435,84607,11418,331,6079,4
2014-03-31,Chubut,97607,80618,10880,316,5793,5
2014-03-31,Córdoba,741515,612460,82651,2397,44007,6
2014-03-31,Corrientes,102607,84748,11437,332,6090,7
2014-03-31,Entre Ríos,223508,184607,24913,723,13265,8
2014-03-31,Formosa,42201,34856,4704,136,2505,9
2014-03-31,Jujuy,55953,46214,6237,181,3321,10
2014-03-31,La Pampa,72038,59500,8030,233,4275,11
2014-03-31,La Rioja,39625,32728,4417,128,2352,12
2014-03-31,Mendoza,320413,264647,35714,1036,19016,13
2014-03-31,Misiones,111018,91696,12374,359,6589,14
2014-03-31,Neuquén,92732,76593,10336,300,5503,15
2014-03-31,Río Negro,121289,100180,13519,392,7198,16
2014-03-31,Salta,140841,116328,15699,455,8359,17
2014-03-31,San Juan,92461,76369,10306,299,5487,18
2014-03-31,San Luis,51097,42205,5695,165,3032,19
2014-03-31,Santa Cruz,40625,33555,4528,131,2411,20
2014-03-31,Santa Fe,770361,636284,85867,2491,45719,21
2014-03-31,Santiago del Estero,70717,58409,7882,229,4197,22
2014-03-31,Tierra del Fuego,32631,26951,3637,106,1937,23
2014-03-31,Tucumán,210917,174209,23509,682,12517,24
