Id_Provincia,Provincia,Fecha,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
1,Buenos Aires,2014-03-31,26.71754097637023,85.26487965836321
2,Capital Federal,2014-03-31,52.66310752251635,128.57034093318336
3,Catamarca,2014-03-31,10.034940315611353,39.44659590264262
4,Chaco,2014-03-31,9.094093463116192,34.022053433325745
5,Chubut,2014-03-31,17.657914414568747,57.59462956340335
6,Córdoba,2014-03-31,21.09164300566625,68.8842540851804
7,Corrientes,2014-03-31,9.713546014023905,36.884951176157685
8,Entre Ríos,2014-03-31,17.14151596972427,57.326999825392434
9,Formosa,2014-03-31,7.377900390215247,28.984601436832925
10,Jujuy,2014-03-31,7.814437989654778,30.555215970809485
11,La Pampa,2014-03-31,21.26068376068376,64.52300554426003
12,La Rioja,2014-03-31,10.979221909123908,41.24124436673224
13,Mendoza,2014-03-31,17.259200413035764,61.83957224588023
14,Misiones,2014-03-31,9.492694978059705,34.84645472513624
15,Neuquén,2014-03-31,15.269578986624383,51.28707106120783
16,Río Negro,2014-03-31,17.693214146386953,57.514775906879166
17,Salta,2014-03-31,10.763841269154527,44.43693741597711
18,San Juan,2014-03-31,12.708558374996452,49.88615189685285
19,San Luis,2014-03-31,10.924384262072753,38.16769687093303
20,Santa Cruz,2014-03-31,13.171295516057151,44.25045697812372
21,Santa Fe,2014-03-31,22.927498048534865,72.91043546719332
22,Santiago del Estero,2014-03-31,7.7298672793691665,31.145180043689663
23,Tierra del Fuego,2014-03-31,22.23456302211805,74.97587427048389
24,Tucumán,2014-03-31,13.474601741015713,54.39036615631549
1,Buenos Aires,2014-06-30,26.60523597024805,84.7441241160982
2,Capital Federal,2014-06-30,52.56115664138207,127.67682065177208
3,Catamarca,2014-06-30,10.018866051037632,39.38290014912079
4,Chaco,2014-06-30,9.057581701771776,33.88517475451896
5,Chubut,2014-06-30,17.572592852303174,57.31467490313664
6,Córdoba,2014-06-30,20.908244627110435,68.2846439293108
7,Corrientes,2014-06-30,9.69140692905088,36.80062924592909
8,Entre Ríos,2014-06-30,17.118674622024724,57.25011995054216
9,Formosa,2014-06-30,7.368081414107943,28.945727617181344
10,Jujuy,2014-06-30,7.822938153303573,30.588114484807683
11,La Pampa,2014-06-30,21.446048482314524,65.08533643106067
12,La Rioja,2014-06-30,10.898970404300613,40.93921448647079
13,Mendoza,2014-06-30,17.20490069178541,61.64439414267319
14,Misiones,2014-06-30,9.452613486248715,34.69889670863214
15,Neuquén,2014-06-30,15.220315610538208,51.12054549024028
16,Río Negro,2014-06-30,17.622707578263892,57.28474815127722
17,Salta,2014-06-30,10.746755254519533,44.36563313028782
18,San Juan,2014-06-30,12.668242031337106,49.72714159528583
19,San Luis,2014-06-30,10.885829793920244,38.03225642360184
20,Santa Cruz,2014-06-30,13.108802806637565,44.03788938194539
21,Santa Fe,2014-06-30,22.802567522289475,72.51280305373346
22,Santiago del Estero,2014-06-30,7.698043439395459,31.0166863588248
23,Tierra del Fuego,2014-06-30,22.078255986251413,74.44391212100471
24,Tucumán,2014-06-30,13.493543256830517,54.466092069648006
1,Buenos Aires,2014-09-30,26.690622077147815,84.85049828768376
2,Capital Federal,2014-09-30,52.69002111099782,127.34607521513811
3,Catamarca,2014-09-30,10.02049664357937,39.38997603833866
4,Chaco,2014-09-30,9.346106274614703,34.965155068203586
5,Chubut,2014-09-30,17.573277236841633,57.32003109310983
6,Córdoba,2014-09-30,20.738111927476435,67.73007744618815
7,Corrientes,2014-09-30,9.938516000252456,37.739527330350086
8,Entre Ríos,2014-09-30,17.59380928180404,58.84005747141104
9,Formosa,2014-09-30,7.361756103332538,28.92141114065608
10,Jujuy,2014-09-30,7.823840741547862,30.592296294688165
11,La Pampa,2014-09-30,21.195751155918245,64.32646875278594
12,La Rioja,2014-09-30,10.832858726844018,40.69140140553948
13,Mendoza,2014-09-30,17.148031549190787,61.44229016568013
14,Misiones,2014-09-30,9.515337809020362,34.930278542757605
15,Neuquén,2014-09-30,15.159363265893026,50.91820157625519
16,Río Negro,2014-09-30,17.573203579807107,57.12550664463557
17,Salta,2014-09-30,10.723058232719929,44.2692898092165
18,San Juan,2014-09-30,12.715469239566952,49.91364236137185
19,San Luis,2014-09-30,10.781882343948396,37.67016075786913
20,Santa Cruz,2014-09-30,13.106011222311697,44.03255069943208
21,Santa Fe,2014-09-30,22.90249728813358,72.83111908675524
22,Santiago del Estero,2014-09-30,7.68847744902452,30.97824658542355
23,Tierra del Fuego,2014-09-30,21.96870443902472,74.0812904979836
24,Tucumán,2014-09-30,13.515556427152967,54.55621423045196
1,Buenos Aires,2014-12-31,26.963167695953384,85.54809357132712
2,Capital Federal,2014-12-31,52.93347683369339,127.29050948547074
3,Catamarca,2014-12-31,9.98875020903328,39.26554516389279
4,Chaco,2014-12-31,9.277416571657474,34.70845725917216
5,Chubut,2014-12-31,17.755560984918066,57.91552507431257
6,Córdoba,2014-12-31,20.647162152746336,67.4334465015363
7,Corrientes,2014-12-31,9.8872474720186,37.54509414908991
8,Entre Ríos,2014-12-31,17.51074588261622,58.56256968734249
9,Formosa,2014-12-31,7.313690364599607,28.73285732795952
10,Jujuy,2014-12-31,7.812454593636398,30.547965218520545
11,La Pampa,2014-12-31,21.412787358006167,64.98532420172552
12,La Rioja,2014-12-31,10.736963316334922,40.33161688980433
13,Mendoza,2014-12-31,17.493758236031585,62.68139024562894
14,Misiones,2014-12-31,9.46718701302221,34.753735473159935
15,Neuquén,2014-12-31,15.285469183913325,51.34258828932764
