Fecha,Accesos TV por suscripción por cada 100 hab,Accesos TV satelital por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV satelital por cada 100 hogares
2024-06-30,15.85,2.91,50.4,9.24
2024-03-31,16.2,3.08,51.55,9.8
2023-12-31,16.34,3.22,52.05,10.26
2023-09-30,16.57,3.6,52.84,11.49
2023-06-30,17.32,3.72,55.29,11.88
2023-03-31,16.71,3.8,53.36,12.13
2022-12-31,16.55,3.96,52.9,12.66
2022-09-30,16.56,4.46,52.97,14.27
2022-06-30,16.55,4.47,53.01,14.31
2022-03-31,16.4121652571227,4.44674193496108,52.6054112422108,14.2530058960436
2021-12-31,16.52,4.37,52.99,14.02
2021-09-30,16.7326336653163,4.68086809261574,53.7230709930594,15.0287524294514
2021-06-30,16.0206043119674,5.08168954414339,51.4791494965861,16.3290379466386
2021-03-31,16.0888818579372,4.95317482508172,51.7409068603562,15.929121709672
2020-12-31,16.0953247835442,5.0933498185571,51.8035968648137,16.3931976670497
2020-09-30,16.1268052197684,5.39545193312205,51.9465590857379,17.3794597763616
2020-06-30,15.9331567162095,5.41181477954406,51.3629556866276,17.4458086151358
2020-03-31,15.9668182346583,5.43163272168891,51.5117001545584,17.5233808011916
2019-12-31,16.1701805407184,5.45169487164292,52.208104988295,17.6016994681148
2019-09-30,15.8996138828015,5.4673024951145,51.3737528834831,17.6655766230326
2019-06-30,15.6980911299674,5.47902924377354,50.760327333732,17.7166329066669
2019-03-31,15.5819430130938,5.52151967464631,50.4221829365472,17.8672887513971
2018-12-31,15.4700882438715,5.53845279242715,50.0969545247982,17.9352317392165
2018-09-30,15.8038618139967,5.6916968129333,51.2149010272792,18.4448391401077
2018-06-30,15.5898009104387,5.62976467139829,50.5568151628677,18.2569985041788
2018-03-31,15.63,5.56,50.73,18.05
2017-12-31,15.4322592541331,5.79288627452293,50.1159652464014,18.8122868096966
2017-09-30,15.36,5.89,49.84,19.1
2017-06-30,15.3759485691994,5.8542088489367,50.0,19.04
2017-03-31,14.9923040877619,5.74733763757097,49.01,18.77
2016-12-31,15.0349751578147,6.10692481421584,50.4544723408922,20.4936600089166
2016-09-30,14.9996026645152,6.03009820885201,50.3357690862428,20.2358447618219
2016-06-30,14.9904240312906,6.06162811013662,50.3049673661668,20.3416530199386
2016-03-31,14.9246549145903,5.82526626065648,50.0842589150648,19.5484683108279
2015-12-31,15.0841767796998,5.88336270134313,50.6083147309933,19.7390335326
2015-09-30,15.0452335050065,5.99412509969984,50.4776577166188,20.1106479997508
2015-06-30,14.9774137353257,5.98798811999434,50.2501183355099,20.0900580660097
2015-03-31,14.8602175936056,5.78532868174847,49.8569182748074,19.4101235370166
2014-12-31,15.1819074514583,5.77973493947668,50.9246564217236,19.1834398010575
2014-09-30,15.1158204337993,5.74203588042981,50.7029808069183,19.0583133657876
2014-06-30,15.08928391474,5.96871301515134,50.6139693885544,19.8106743674152
2014-03-31,12.7363386025147,5.56926844701719,42.7214873676163,18.4848833221679
