Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2023,1,Santiago Del Estero,15.47,62.32
2023,1,Tierra Del Fuego,24.2,81.64
2023,1,Tucumán,8.05,32.5
2022,4,Buenos Aires,16.53,48.83
2022,4,Capital Federal,23.97,58.44
2022,4,Catamarca,12.82,50.39
2022,4,Chaco,10.06,37.65
2022,4,Chubut,12.52,40.84
2022,4,Córdoba,29.71,97.05
2022,4,Corrientes,12.09,45.93
2022,4,Entre Ríos,16.43,54.96
2022,4,Formosa,11.06,43.45
2022,4,Jujuy,14.98,58.57
2022,4,La Pampa,23.13,70.19
2022,4,La Rioja,5.96,22.4
2022,4,Mendoza,6.67,23.91
2022,4,Misiones,11.17,41.01
2022,4,Neuquén,11.09,37.24
2022,4,Río Negro,13.82,44.93
2022,4,Salta,14.79,61.08
2022,4,San Juan,4.95,19.44
2022,4,San Luis,9.3,32.49
2022,4,Santa Cruz,9.52,31.99
2022,4,Santa Fe,21.25,67.59
2022,4,Santiago Del Estero,15.33,61.78
2022,4,Tierra Del Fuego,23.98,80.91
2022,4,Tucumán,7.92,31.98
2022,3,Buenos Aires,16.75,49.6
2022,3,Capital Federal,24.12,58.73
2022,3,Catamarca,12.36,48.58
2022,3,Chaco,9.9,37.06
2022,3,Chubut,12.48,40.73
2022,3,Córdoba,29.7,97.02
2022,3,Corrientes,11.89,45.17
2022,3,Entre Ríos,16.36,54.71
2022,3,Formosa,11.05,43.42
2022,3,Jujuy,14.77,57.76
2022,3,La Pampa,20.33,61.71
2022,3,La Rioja,5.99,22.49
2022,3,Mendoza,6.55,23.47
2022,3,Misiones,11.07,40.65
2022,3,Neuquén,10.82,36.34
2022,3,Río Negro,13.19,42.88
2022,3,Salta,14.67,60.58
2022,3,San Juan,4.92,19.32
2022,3,San Luis,9.08,31.72
2022,3,Santa Cruz,10.92,36.71
2022,3,Santa Fe,21.11,67.15
2022,3,Santiago Del Estero,15.11,60.9
2022,3,Tierra Del Fuego,24.01,81.0
2022,3,Tucumán,7.56,30.52
2022,2,Buenos Aires,16.76,49.77
2022,2,Capital Federal,24.18,58.82
2022,2,Catamarca,12.35,48.55
2022,2,Chaco,9.95,37.24
2022,2,Chubut,12.39,40.43
2022,2,Córdoba,29.77,97.25
2022,2,Corrientes,11.63,44.16
2022,2,Entre Ríos,16.32,54.59
2022,2,Formosa,10.96,43.07
2022,2,Jujuy,14.28,55.86
2022,2,La Pampa,21.41,64.98
2022,2,La Rioja,5.97,22.41
2022,2,Mendoza,6.4,22.95
2022,2,Misiones,11.07,40.64
2022,2,Neuquén,11.14,37.43
2022,2,Río Negro,14.05,45.67
2022,2,Salta,14.65,60.5
2022,2,San Juan,4.69,18.4
2022,2,San Luis,9.06,31.65
2022,2,Santa Cruz,10.97,36.86
2022,2,Santa Fe,20.91,66.49
2022,2,Santiago Del Estero,14.89,60.0
2022,2,Tierra Del Fuego,23.39,78.89
2022,2,Tucumán,7.65,30.89
2022,1,Buenos Aires,16.6981587352893,49.6953984270073
2022,1,Capital Federal,24.1917452485677,58.7770022477227
2022,1,Catamarca,11.1847961017106,43.9715584088385
2022,1,Chaco,9.78368419117497,36.6073475776595
2022,1,Chubut,12.2228442392487,39.8778954929072
2022,1,Córdoba,29.4055442431756,96.0472066117962
2022,1,Corrientes,11.5417678905629,43.8334786952846
2022,1,Entre Ríos,16.288319027563,54.4793152639087
2022,1,Formosa,10.9703251270091,43.1044095123967
2022,1,Jujuy,14.008591851377,54.7833584179732
2022,1,La Pampa,21.6476856770131,65.7043571237637
2022,1,La Rioja,5.90772399280656,22.1934627819619
2022,1,Mendoza,5.96299376771994,21.3690532061284
2022,1,Misiones,10.883199803112,39.9585939086149
2022,1,Neuquén,11.2110824635826,37.6655748103292
2022,1,Río Negro,14.1304063012593,45.9424345818478
2022,1,Salta,14.8584770989714,61.352899903133
2022,1,San Juan,4.33656493840578,17.024701966478
2022,1,San Luis,8.9618095179348,31.3152949259401
2022,1,Santa Cruz,10.9775632608901,36.8961773713802
2022,1,Santa Fe,20.784484665167,66.1006999763774
2022,1,Santiago Del Estero,14.6311650087253,58.9561004852521
2022,1,Tierra Del Fuego,23.6804501700322,79.8789373388634
2022,1,Tucumán,6.91761573303619,27.9273510764837
2021,4,Buenos Aires,16.89,50.38
2021,4,Capital Federal,24.22,58.79
2021,4,Catamarca,10.68,42.01
2021,4,Chaco,9.61,35.97
2021,4,Chubut,12.1,39.48
2021,4,Córdoba,29.33,95.8
2021,4,Corrientes,10.27,39.01
2021,4,Entre Ríos,16.34,54.64
2021,4,Formosa,11.01,43.27
2021,4,Jujuy,13.84,54.13
2021,4,La Pampa,22.72,68.95
2021,4,La Rioja,6.39,24.01
2021,4,Mendoza,5.73,20.53
2021,4,Misiones,10.9,40.03
2021,4,Neuquén,11.35,38.12
2021,4,Río Negro,14.62,47.53
2021,4,Salta,14.24,58.79
2021,4,San Juan,4.22,16.59
2021,4,San Luis,8.98,31.37
2021,4,Santa Cruz,11.02,37.05
2021,4,Santa Fe,20.89,66.45
2021,4,Santiago Del Estero,19.23,77.49
2021,4,Tierra Del Fuego,23.65,79.76
2021,4,Tucumán,6.39,25.79
2021,3,Buenos Aires,16.7814258424723,50.1850133691485
2021,3,Capital Federal,24.2120256370953,58.6944473310471
2021,3,Catamarca,10.3777182462128,40.7986957010607
2021,3,Chaco,9.48543789742251,35.4914210943403
2021,3,Chubut,11.8441951222605,38.6420640543629
2021,3,Córdoba,29.0564322788735,94.9065146954537
2021,3,Corrientes,10.2220490570005,38.8213346217856
2021,3,Entre Ríos,17.41547763206,58.2491140256192
2021,3,Formosa,10.8338244924689,42.5678500897377
2021,3,Jujuy,13.8205674476641,54.0475140778742
2021,3,La Pampa,22.3984613769129,67.9828902121949
2021,3,La Rioja,5.18754928096722,19.4880668033326
2021,3,Mendoza,5.58176561322099,20.0027762601285
2021,3,Misiones,10.9993509437153,40.3848530929391
2021,3,Neuquén,11.5610873830208,38.8411910175103
2021,3,Río Negro,14.7876109927657,48.0788599592843
2021,3,Salta,16.8341308587667,69.5103236407802
2021,3,San Juan,4.30014528543087,16.8816083395383
2021,3,San Luis,8.9900300398139,31.4137793167942
2021,3,Santa Cruz,11.2281671574516,37.7376018293554
2021,3,Santa Fe,23.1160721167658,73.5156976334774
2021,3,Santiago Del Estero,19.2622180735964,77.616399768788
2021,3,Tierra Del Fuego,23.7944969760833,80.2616652801936
2021,3,Tucumán,6.59964523544921,26.6435091611593
2021,2,Buenos Aires,16.5784524479587,49.6969378697222
2021,2,Capital Federal,24.0857930792543,58.3222495852935
2021,2,Catamarca,10.2260595421488,40.2016844595927
2021,2,Chaco,9.64878644451612,36.1016865659694
2021,2,Chubut,11.7627305309932,38.3747494781877
2021,2,Córdoba,28.2726982880602,92.3448719239677
2021,2,Corrientes,9.97399796552008,37.8785025990007
2021,2,Entre Ríos,15.9340777293726,53.2933644468378
2021,2,Formosa,9.94476860061317,39.07382939641
2021,2,Jujuy,13.6734153866706,53.4706978566513
2021,2,La Pampa,22.0735600738757,66.9955458441886
2021,2,La Rioja,5.09313900286775,19.1328792709847
2021,2,Mendoza,5.40968410320338,19.3856270482518
2021,2,Misiones,11.0125124523983,40.4321548079168
