Id_Provincia,Provincia,Fecha,Accesos TV por suscripción (Vrf)
6,Córdoba,2016-09-30,1011257
7,Corrientes,2016-09-30,92783
8,Entre Ríos,2016-09-30,155482
9,Formosa,2016-09-30,46371
10,Jujuy,2016-09-30,84547
11,La Pampa,2016-09-30,90884
12,La Rioja,2016-09-30,24599
13,Mendoza,2016-09-30,116331
14,Misiones,2016-09-30,122505
15,Neuquén,2016-09-30,110917
16,Río Negro,2016-09-30,54503
17,Salta,2016-09-30,172479
18,San Juan,2016-09-30,42357
19,San Luis,2016-09-30,54078
20,Santa Cruz,2016-09-30,51191
21,Santa Fe,2016-09-30,614627
25,Santiago del Estero,2016-09-30,99070
26,Tierra del Fuego,2016-09-30,38592
24,Tucumán,2016-09-30,125384
1,Buenos Aires,2016-06-30,2516810
2,Capital Federal,2016-06-30,717928
3,Catamarca,2016-06-30,29641
4,Chaco,2016-06-30,94320
5,Chubut,2016-06-30,72833
6,Córdoba,2016-06-30,1005624
7,Corrientes,2016-06-30,92714
8,Entre Ríos,2016-06-30,155110
9,Formosa,2016-06-30,46382
10,Jujuy,2016-06-30,85293
11,La Pampa,2016-06-30,89647
12,La Rioja,2016-06-30,24385
13,Mendoza,2016-06-30,116159
14,Misiones,2016-06-30,122257
15,Neuquén,2016-06-30,111025
16,Río Negro,2016-06-30,54753
17,Salta,2016-06-30,174345
18,San Juan,2016-06-30,42414
19,San Luis,2016-06-30,53963
20,Santa Cruz,2016-06-30,51724
21,Santa Fe,2016-06-30,615206
25,Santiago del Estero,2016-06-30,99076
26,Tierra del Fuego,2016-06-30,38086
24,Tucumán,2016-06-30,124686
1,Buenos Aires,2016-03-31,2503121
2,Capital Federal,2016-03-31,720018
3,Catamarca,2016-03-31,29207
4,Chaco,2016-03-31,91403
5,Chubut,2016-03-31,68242
6,Córdoba,2016-03-31,998906
7,Corrientes,2016-03-31,92425
8,Entre Ríos,2016-03-31,154253
9,Formosa,2016-03-31,46370
10,Jujuy,2016-03-31,84849
11,La Pampa,2016-03-31,89605
12,La Rioja,2016-03-31,24225
13,Mendoza,2016-03-31,116180
14,Misiones,2016-03-31,121064
15,Neuquén,2016-03-31,111050
16,Río Negro,2016-03-31,54900
17,Salta,2016-03-31,170519
18,San Juan,2016-03-31,42207
19,San Luis,2016-03-31,54984
20,Santa Cruz,2016-03-31,54419
21,Santa Fe,2016-03-31,610811
25,Santiago del Estero,2016-03-31,98890
26,Tierra del Fuego,2016-03-31,38875
24,Tucumán,2016-03-31,129189
1,Buenos Aires,2015-12-31,2504956
2,Capital Federal,2015-12-31,716866
3,Catamarca,2015-12-31,29356
4,Chaco,2015-12-31,90819
5,Chubut,2015-12-31,68847
6,Córdoba,2015-12-31,994334
7,Corrientes,2015-12-31,94401
8,Entre Ríos,2015-12-31,154461
9,Formosa,2015-12-31,46385
10,Jujuy,2015-12-31,86586
11,La Pampa,2015-12-31,87160
12,La Rioja,2015-12-31,25151
13,Mendoza,2015-12-31,116883
14,Misiones,2015-12-31,119199
15,Neuquén,2015-12-31,111106
16,Río Negro,2015-12-31,56550
17,Salta,2015-12-31,172954
18,San Juan,2015-12-31,44239
19,San Luis,2015-12-31,54524
20,Santa Cruz,2015-12-31,55004
21,Santa Fe,2015-12-31,613513
25,Santiago del Estero,2015-12-31,99921
26,Tierra del Fuego,2015-12-31,37687
24,Tucumán,2015-12-31,125200
1,Buenos Aires,2015-09-30,2505777
2,Capital Federal,2015-09-30,715814
3,Catamarca,2015-09-30,29089
4,Chaco,2015-09-30,92709
5,Chubut,2015-09-30,68820
6,Córdoba,2015-09-30,986247
7,Corrientes,2015-09-30,92364
8,Entre Ríos,2015-09-30,153615
9,Formosa,2015-09-30,46414
10,Jujuy,2015-09-30,85777
11,La Pampa,2015-09-30,86107
12,La Rioja,2015-09-30,25779
13,Mendoza,2015-09-30,117481
14,Misiones,2015-09-30,118527
15,Neuquén,2015-09-30,111307
16,Río Negro,2015-09-30,57112
17,Salta,2015-09-30,170310
18,San Juan,2015-09-30,43576
19,San Luis,2015-09-30,54728
20,Santa Cruz,2015-09-30,54965
21,Santa Fe,2015-09-30,613455
25,Santiago del Estero,2015-09-30,99599
26,Tierra del Fuego,2015-09-30,37053
24,Tucumán,2015-09-30,122680
1,Buenos Aires,2015-06-30,2522599
2,Capital Federal,2015-06-30,693278
3,Catamarca,2015-06-30,28518
4,Chaco,2015-06-30,91438
5,Chubut,2015-06-30,68762
6,Córdoba,2015-06-30,979028
7,Corrientes,2015-06-30,91645
8,Entre Ríos,2015-06-30,153882
9,Formosa,2015-06-30,46356
10,Jujuy,2015-06-30,83523
11,La Pampa,2015-06-30,82878
12,La Rioja,2015-06-30,25403
13,Mendoza,2015-06-30,116704
14,Misiones,2015-06-30,116298
15,Neuquén,2015-06-30,111237
16,Río Negro,2015-06-30,58204
17,Salta,2015-06-30,169164
18,San Juan,2015-06-30,43565
19,San Luis,2015-06-30,55558
20,Santa Cruz,2015-06-30,54155
21,Santa Fe,2015-06-30,611604
25,Santiago del Estero,2015-06-30,98712
26,Tierra del Fuego,2015-06-30,36057
24,Tucumán,2015-06-30,121485
1,Buenos Aires,2015-03-31,2502399
2,Capital Federal,2015-03-31,690175
3,Catamarca,2015-03-31,28098
4,Chaco,2015-03-31,91617
5,Chubut,2015-03-31,68561
6,Córdoba,2015-03-31,974705
7,Corrientes,2015-03-31,90410
8,Entre Ríos,2015-03-31,151985
9,Formosa,2015-03-31,46316
10,Jujuy,2015-03-31,80056
11,La Pampa,2015-03-31,81292
12,La Rioja,2015-03-31,25553
13,Mendoza,2015-03-31,115783
14,Misiones,2015-03-31,114278
15,Neuquén,2015-03-31,111183
16,Río Negro,2015-03-31,57497
17,Salta,2015-03-31,168225
18,San Juan,2015-03-31,43939
19,San Luis,2015-03-31,55603
20,Santa Cruz,2015-03-31,54518
21,Santa Fe,2015-03-31,604333
25,Santiago del Estero,2015-03-31,98247
26,Tierra del Fuego,2015-03-31,35399
24,Tucumán,2015-03-31,119332
1,Buenos Aires,2014-12-31,2492829
2,Capital Federal,2014-12-31,690404
3,Catamarca,2014-12-31,28249
4,Chaco,2014-12-31,91003
5,Chubut,2014-12-31,68381
6,Córdoba,2014-12-31,976250
7,Corrientes,2014-12-31,91210
8,Entre Ríos,2014-12-31,151868
9,Formosa,2014-12-31,46590
10,Jujuy,2014-12-31,79331
11,La Pampa,2014-12-31,79733
12,La Rioja,2014-12-31,26337
13,Mendoza,2014-12-31,116149
14,Misiones,2014-12-31,112595
15,Neuquén,2014-12-31,154765
16,Río Negro,2014-12-31,58053
17,Salta,2014-12-31,166843
18,San Juan,2014-12-31,42970
19,San Luis,2014-12-31,55289
20,Santa Cruz,2014-12-31,44012
21,Santa Fe,2014-12-31,652071
25,Santiago del Estero,2014-12-31,98334
26,Tierra del Fuego,2014-12-31,34741
24,Tucumán,2014-12-31,120037
1,Buenos Aires,2014-09-30,2479337
2,Capital Federal,2014-09-30,689381
3,Catamarca,2014-09-30,27544
4,Chaco,2014-09-30,85608
5,Chubut,2014-09-30,68472
6,Córdoba,2014-09-30,975850
7,Corrientes,2014-09-30,89802
8,Entre Ríos,2014-09-30,150597
9,Formosa,2014-09-30,46428
10,Jujuy,2014-09-30,73976
11,La Pampa,2014-09-30,77927
12,La Rioja,2014-09-30,24594
13,Mendoza,2014-09-30,116918
14,Misiones,2014-09-30,115847
15,Neuquén,2014-09-30,154805
16,Río Negro,2014-09-30,58165
17,Salta,2014-09-30,166681
18,San Juan,2014-09-30,42753
19,San Luis,2014-09-30,54824
20,Santa Cruz,2014-09-30,43728
21,Santa Fe,2014-09-30,654067
25,Santiago del Estero,2014-09-30,97796
26,Tierra del Fuego,2014-09-30,35025
24,Tucumán,2014-09-30,119720
1,Buenos Aires,2014-06-30,2477696
2,Capital Federal,2014-06-30,692311
3,Catamarca,2014-06-30,27382
4,Chaco,2014-06-30,85726
5,Chubut,2014-06-30,68578
6,Córdoba,2014-06-30,974174
7,Corrientes,2014-06-30,88423
8,Entre Ríos,2014-06-30,148123
9,Formosa,2014-06-30,46553
10,Jujuy,2014-06-30,71984
11,La Pampa,2014-06-30,76732
12,La Rioja,2014-06-30,25071
13,Mendoza,2014-06-30,116281
14,Misiones,2014-06-30,114366
15,Neuquén,2014-06-30,154762
16,Río Negro,2014-06-30,58097
17,Salta,2014-06-30,166019
18,San Juan,2014-06-30,42146
19,San Luis,2014-06-30,55697
20,Santa Cruz,2014-06-30,46547
21,Santa Fe,2014-06-30,650114
25,Santiago del Estero,2014-06-30,96849
26,Tierra del Fuego,2014-06-30,34726
24,Tucumán,2014-06-30,120165
1,Buenos Aires,2014-03-31,2363240
2,Capital Federal,2014-03-31,691440
3,Catamarca,2014-03-31,18239
4,Chaco,2014-03-31,88112
5,Chubut,2014-03-31,68671
6,Córdoba,2014-03-31,511023
7,Corrientes,2014-03-31,61056
8,Entre Ríos,2014-03-31,109137
9,Formosa,2014-03-31,30013
10,Jujuy,2014-03-31,64535
11,La Pampa,2014-03-31,67773
12,La Rioja,2014-03-31,25108
13,Mendoza,2014-03-31,106933
14,Misiones,2014-03-31,99220
15,Neuquén,2014-03-31,105837
16,Río Negro,2014-03-31,40129
17,Salta,2014-03-31,123120
18,San Juan,2014-03-31,42011
19,San Luis,2014-03-31,16869
20,Santa Cruz,2014-03-31,21133
21,Santa Fe,2014-03-31,546523
25,Santiago del Estero,2014-03-31,92972
26,Tierra del Fuego,2014-03-31,29886
24,Tucumán,2014-03-31,111552
