Id_Provincia,Provincia,Fecha,Accesos TV por suscripción (Vrf)
6,Córdoba,2022-12-31,1144232
7,Corrientes,2022-12-31,138275
8,Entre Ríos,2022-12-31,232681
9,Formosa,2022-12-31,68178
10,Jujuy,2022-12-31,118439
11,La Pampa,2022-12-31,84533
12,La Rioja,2022-12-31,24198
13,Mendoza,2022-12-31,135969
14,Misiones,2022-12-31,144537
15,Neuquén,2022-12-31,75837
16,Río Negro,2022-12-31,106441
17,Salta,2022-12-31,216928
18,San Juan,2022-12-31,39665
19,San Luis,2022-12-31,48667
20,Santa Cruz,2022-12-31,36885
21,Santa Fe,2022-12-31,765310
22,Santiago Del Estero,2022-12-31,153651
23,Tierra Del Fuego,2022-12-31,44077
24,Tucumán,2022-12-31,137991
1,Buenos Aires,2022-09-30,2998021
2,Capital Federal,2022-09-30,743338
3,Catamarca,2022-09-30,52274
4,Chaco,2022-09-30,121771
5,Chubut,2022-09-30,80020
6,Córdoba,2022-09-30,1141181
7,Corrientes,2022-09-30,135711
8,Entre Ríos,2022-09-30,231102
9,Formosa,2022-09-30,68010
10,Jujuy,2022-09-30,116493
11,La Pampa,2022-09-30,74175
12,La Rioja,2022-09-30,24224
13,Mendoza,2022-09-30,133136
14,Misiones,2022-09-30,142905
15,Neuquén,2022-09-30,73768
16,Río Negro,2022-09-30,101277
17,Salta,2022-09-30,214522
18,San Juan,2022-09-30,39324
19,San Luis,2022-09-30,47371
20,Santa Cruz,2022-09-30,42088
21,Santa Fe,2022-09-30,758933
22,Santiago Del Estero,2022-09-30,151092
23,Tierra Del Fuego,2022-09-30,43869
24,Tucumán,2022-09-30,131326
1,Buenos Aires,2022-06-30,2994210
2,Capital Federal,2022-06-30,745194
3,Catamarca,2022-06-30,52137
4,Chaco,2022-06-30,122109
5,Chubut,2022-06-30,79115
6,Córdoba,2022-06-30,1141123
7,Corrientes,2022-06-30,132406
8,Entre Ríos,2022-06-30,230101
9,Formosa,2022-06-30,67339
10,Jujuy,2022-06-30,112372
11,La Pampa,2022-06-30,77942
12,La Rioja,2022-06-30,24062
13,Mendoza,2022-06-30,129894
14,Misiones,2022-06-30,142495
15,Neuquén,2022-06-30,75772
16,Río Negro,2022-06-30,107552
17,Salta,2022-06-30,213618
18,San Juan,2022-06-30,37356
19,San Luis,2022-06-30,47129
20,Santa Cruz,2022-06-30,42016
21,Santa Fe,2022-06-30,750117
22,Santiago Del Estero,2022-06-30,148501
23,Tierra Del Fuego,2022-06-30,42480
24,Tucumán,2022-06-30,132544
1,Buenos Aires,2022-03-31,2975672
2,Capital Federal,2022-03-31,745263
3,Catamarca,2022-03-31,47123
4,Chaco,2022-03-31,119743
5,Chubut,2022-03-31,77728
6,Córdoba,2022-03-31,1124246
7,Corrientes,2022-03-31,131173
8,Entre Ríos,2022-03-31,229140
9,Formosa,2022-03-31,67264
10,Jujuy,2022-03-31,109925
11,La Pampa,2022-03-31,78656
12,La Rioja,2022-03-31,23751
13,Mendoza,2022-03-31,120661
14,Misiones,2022-03-31,139738
15,Neuquén,2022-03-31,76008
16,Río Negro,2022-03-31,107854
17,Salta,2022-03-31,215980
18,San Juan,2022-03-31,34474
19,San Luis,2022-03-31,46491
20,Santa Cruz,2022-03-31,41803
21,Santa Fe,2022-03-31,744319
22,Santiago Del Estero,2022-03-31,145552
23,Tierra Del Fuego,2022-03-31,42756
24,Tucumán,2022-03-31,119507
1,Buenos Aires,2021-12-31,3002329
2,Capital Federal,2021-12-31,746094
3,Catamarca,2021-12-31,44924
4,Chaco,2021-12-31,117381
5,Chubut,2021-12-31,76640
6,Córdoba,2021-12-31,1118579
7,Corrientes,2021-12-31,116488
8,Entre Ríos,2021-12-31,229305
9,Formosa,2021-12-31,67396
10,Jujuy,2021-12-31,108333
11,La Pampa,2021-12-31,82376
12,La Rioja,2021-12-31,25613
13,Mendoza,2021-12-31,115618
14,Misiones,2021-12-31,139606
15,Neuquén,2021-12-31,76685
16,Río Negro,2021-12-31,111231
17,Salta,2021-12-31,206327
18,San Juan,2021-12-31,33497
19,San Luis,2021-12-31,46426
20,Santa Cruz,2021-12-31,41732
21,Santa Fe,2021-12-31,746848
22,Santiago Del Estero,2021-12-31,190841
23,Tierra Del Fuego,2021-12-31,42441
24,Tucumán,2021-12-31,110048
1,Buenos Aires,2021-09-30,2976570
2,Capital Federal,2021-09-30,745558
3,Catamarca,2021-09-30,43542
4,Chaco,2021-09-30,115548
5,Chubut,2021-09-30,74721
6,Córdoba,2021-09-30,1105454
7,Corrientes,2021-09-30,115700
8,Entre Ríos,2021-09-30,243917
9,Formosa,2021-09-30,66173
10,Jujuy,2021-09-30,107881
11,La Pampa,2021-09-30,81056
12,La Rioja,2021-09-30,20724
13,Mendoza,2021-09-30,112397
14,Misiones,2021-09-30,140488
15,Neuquén,2021-09-30,77903
16,Río Negro,2021-09-30,112180
17,Salta,2021-09-30,243234
18,San Juan,2021-09-30,34008
19,San Luis,2021-09-30,46357
20,Santa Cruz,2021-09-30,42248
21,Santa Fe,2021-09-30,824741
22,Santiago Del Estero,2021-09-30,190674
23,Tierra Del Fuego,2021-09-30,42452
24,Tucumán,2021-09-30,113366
1,Buenos Aires,2021-06-30,2933650
2,Capital Federal,2021-06-30,741498
3,Catamarca,2021-06-30,42816
4,Chaco,2021-06-30,117259
5,Chubut,2021-06-30,73909
6,Córdoba,2021-06-30,1072980
7,Corrientes,2021-06-30,112659
8,Entre Ríos,2021-06-30,222673
9,Formosa,2021-06-30,60625
10,Jujuy,2021-06-30,106450
11,La Pampa,2021-06-30,79718
12,La Rioja,2021-06-30,20282
13,Mendoza,2021-06-30,108664
14,Misiones,2021-06-30,140283
15,Neuquén,2021-06-30,78122
16,Río Negro,2021-06-30,111055
17,Salta,2021-06-30,195472
18,San Juan,2021-06-30,33726
19,San Luis,2021-06-30,45688
20,Santa Cruz,2021-06-30,42352
21,Santa Fe,2021-06-30,674967
22,Santiago Del Estero,2021-06-30,161926
23,Tierra Del Fuego,2021-06-30,42158
24,Tucumán,2021-06-30,114139
1,Buenos Aires,2021-03-31,2924732
2,Capital Federal,2021-03-31,740825
3,Catamarca,2021-03-31,42761
4,Chaco,2021-03-31,118321
5,Chubut,2021-03-31,73129
6,Córdoba,2021-03-31,1085427
7,Corrientes,2021-03-31,113093
8,Entre Ríos,2021-03-31,221612
9,Formosa,2021-03-31,60478
