Id_Provincia,Provincia,Id_Partido,Partido,Id_Localidad,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
20,SANTIAGO DEL ESTERO,321,Silípica,2546,Árraga,None,None,None,SI,SI,SI,None,SI,SI,86189010.0,-28.0781229945078,-64.1575725231187
20,SANTIAGO DEL ESTERO,321,Silípica,2547,Nueva Francia,None,None,None,None,SI,SI,None,SI,SI,86189020.0,-28.197257042159,-64.1289571495793
20,SANTIAGO DEL ESTERO,321,Silípica,2548,Simbol,None,None,None,None,None,SI,None,None,None,86189030.0,-28.1281475866785,-64.1477934328695
20,SANTIAGO DEL ESTERO,321,Silípica,2549,Sumamao,None,None,None,None,None,None,None,None,None,86189040.0,-28.1967575331195,-64.0357172733602
20,SANTIAGO DEL ESTERO,321,Silípica,2550,Villa Silípica,None,None,None,None,None,None,None,None,None,86189050.0,-28.1355654399078,-64.0824158634213
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2551,Base Belgrano Ii,None,None,None,None,None,None,None,None,None,,-77.8740088546501,-34.6265601051448
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2552,Base Brown,None,None,None,None,None,None,None,None,None,,-64.8953481540258,-62.8705378154324
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2553,Base Carlini,None,None,None,None,None,None,None,None,None,,-62.2383693073102,-58.6675435788796
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2554,Base Esperanza,None,None,None,None,None,None,None,SI,SI,,-63.3973928907224,-56.997322458775
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2555,Base Marambio,None,None,None,None,None,None,None,SI,SI,,-64.2406140561753,-56.6250959571072
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2556,Base Matienzo,None,None,None,None,None,None,None,None,None,,-64.9758620236943,-60.0706791228407
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2557,Base Orcadas,None,None,None,None,None,None,None,None,None,,-60.737817304161,-44.7376600159669
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2558,Base San Martin,None,None,None,None,None,None,None,None,None,,-68.1300703213167,-67.101329501464
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2559,Destacamento Camara,None,None,None,None,None,None,None,None,None,,-62.5943496603855,-59.9190536260268
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2560,Destacamento Decepcion,None,None,None,None,None,None,None,None,None,,-62.9753323251602,-60.6982227022535
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2561,Destacamento Melchior,None,None,None,None,None,None,None,None,None,,-64.3256059503534,-62.9763657702779
8,TIERRA DEL FUEGO,322,ANTARTIDA ARGENTINA,2562,Destacamento Petrel,None,None,None,None,None,None,None,None,None,,-63.4779032552796,-56.2281462316807
2,SAN LUIS,105,Ayacucho,1480,Luján,None,None,None,None,None,SI,SI,SI,None,74007040.0,-32.3660349058479,-65.9425439975458
2,SAN LUIS,105,Ayacucho,2563,Pampa Grande,None,None,None,SI,None,None,None,None,None,74007010.0,-32.3724224723278,-66.3077548668586
2,SAN LUIS,105,Ayacucho,2564,Pozo Del Molle,None,None,None,None,None,None,None,None,None,74007010.0,-32.53991654,-66.1496998
2,SAN LUIS,105,Ayacucho,2565,Quines,None,None,None,None,SI,SI,None,None,SI,74007050.0,-32.2330822365033,-65.8056329969317
2,SAN LUIS,105,Ayacucho,2566,Río Juan Gómez,None,None,None,None,None,SI,None,None,None,74007010.0,-32.603889,-66.086944
2,SAN LUIS,105,Ayacucho,2567,Rodeo De Cadenas,None,None,None,None,None,None,None,None,None,74007010.0,-32.7015629614775,-66.1900873349156
2,SAN LUIS,105,Ayacucho,2568,San Francisco del Monte de Oro,None,None,None,None,None,SI,SI,None,SI,74007070.0,-32.6006392247112,-66.1273702635842
2,SAN LUIS,105,Ayacucho,2569,San Ignacio,None,None,None,None,None,None,None,None,None,74007070.0,-32.0866257032099,-66.0888231134367
2,SAN LUIS,105,Ayacucho,857,San Miguel,None,None,None,None,None,None,None,None,None,74007070.0,-32.14116477,-65.81342262
2,SAN LUIS,105,Ayacucho,142,San Roque,None,None,None,None,None,None,None,None,None,74007050.0,-32.15448797,-66.96257853
2,SAN LUIS,105,Ayacucho,134,Santa Ana,None,None,None,None,None,None,None,None,None,74007070.0,-32.1448782188562,-66.0460393687647
2,SAN LUIS,105,Ayacucho,2570,Santa Rosa De Catantal,None,None,None,None,None,None,None,None,None,74007010.0,-32.33294095,-66.91334013
2,SAN LUIS,105,Ayacucho,30,Santa Teresa,None,None,None,None,None,None,None,None,None,74007070.0,-32.20206139,-66.26698743
2,SAN LUIS,105,Ayacucho,1602,Santo Domingo,None,None,None,None,None,None,None,None,None,74007070.0,-31.8973633310749,-65.6491557457839
2,SAN LUIS,105,Ayacucho,136,Talita,None,None,None,None,None,None,None,None,None,74007010.0,-32.3496514640192,-66.7266327912252
2,SAN LUIS,24,Belgrano,2571,Arbol Solo,None,None,None,None,None,None,None,None,None,74014030.0,-32.52213375,-66.48595015
2,SAN LUIS,24,Belgrano,2572,Bella Estancia,None,None,None,None,None,None,None,None,None,74014030.0,-32.8188624645794,-66.6427145357585
2,SAN LUIS,24,Belgrano,2573,Buen Orden,None,None,None,None,None,None,None,None,None,74014030.0,-32.59798771,-66.71267133
2,SAN LUIS,24,Belgrano,2141,El Barrial,None,None,None,None,None,None,None,None,None,74014010.0,-32.8288468409196,-66.3734349744985
2,SAN LUIS,24,Belgrano,2574,El Milagro,None,None,None,None,None,None,None,None,None,74014010.0,-33.10055908,-66.36174359
2,SAN LUIS,24,Belgrano,2575,El Recodo,None,None,None,None,None,None,None,None,None,74014010.0,-32.9827253369368,-66.4680980568412
2,SAN LUIS,24,Belgrano,2576,Estancia De Amieva,None,None,None,None,None,None,None,None,None,74014010.0,-32.6952146,-66.26680538
2,SAN LUIS,24,Belgrano,2577,Hualtaran,None,None,None,None,None,None,None,None,None,74014030.0,-32.46760813,-66.96050979
2,SAN LUIS,24,Belgrano,2578,La Calera,None,None,None,SI,None,SI,SI,None,None,74014010.0,-32.8619918957825,-66.8506529764617
2,SAN LUIS,24,Belgrano,2542,Las Lagunitas,None,None,None,None,None,None,None,None,None,74014030.0,-32.9957785714348,-67.0904154332342
2,SAN LUIS,24,Belgrano,131,Los Molles,None,None,None,None,None,SI,None,None,None,74014010.0,-33.10962076,-66.28134706
2,SAN LUIS,24,Belgrano,2579,Los Ramblones,None,None,None,None,None,None,None,None,None,74014030.0,-32.5115721012844,-66.4266138930999
2,SAN LUIS,24,Belgrano,2580,Naranjo Esquino,None,None,None,None,None,None,None,None,None,74014040.0,-33.02126301,-66.85216648
2,SAN LUIS,24,Belgrano,2581,Nogolí,None,None,None,SI,None,SI,SI,None,None,74014020.0,-32.9173752831041,-66.3257602058349
21,MISIONES,323,San Pedro,682,San Pedro,None,SI,None,SI,None,SI,SI,SI,SI,54112040.0,-26.6197903071037,-54.1146818942839
21,MISIONES,323,San Pedro,2582,Tobuna,None,None,None,SI,None,SI,None,None,SI,54112050.0,-26.4664417575785,-53.8919888142393
24,NEUQUEN,324,Aluminé,2583,Aluminé,None,SI,None,SI,SI,SI,SI,None,SI,58007010.0,-39.2395006622098,-70.9180131491474
24,NEUQUEN,324,Aluminé,2584,Moquehue,SI,None,None,None,None,SI,None,None,None,58007015.0,-38.9431841513779,-71.3282934446594
24,NEUQUEN,324,Aluminé,2585,Villa Pehuenia,SI,None,SI,None,SI,SI,SI,SI,SI,58007020.0,-38.88385673767,-71.1721341418285
24,NEUQUEN,325,Añelo,2586,Aguada San Roque,None,None,None,None,None,None,None,SI,SI,58014005.0,-37.9994791767967,-68.9231103975687
24,NEUQUEN,325,Añelo,2587,Añelo,None,SI,None,SI,SI,SI,SI,SI,SI,58014010.0,-38.3514440221419,-68.7919715586172
24,NEUQUEN,325,Añelo,2588,San Patricio del Chañar,None,SI,None,SI,SI,SI,SI,SI,SI,58014020.0,-38.6257824069657,-68.2986456816821
24,NEUQUEN,326,Catan LilL,2589,Las Coloradas,None,None,SI,None,SI,SI,SI,None,None,58021010.0,-39.5578638822685,-70.5932894653763
24,NEUQUEN,327,Chos Malal,2590,Chos Malal,SI,None,SI,SI,SI,SI,SI,SI,SI,58042010.0,-37.3792566593514,-70.2723772223192
24,NEUQUEN,327,Chos Malal,2591,Tricao Malal,None,None,None,None,None,SI,SI,None,None,58042020.0,-37.0428490399834,-70.3347175778926
24,NEUQUEN,327,Chos Malal,2592,Villa del Curi Leuvú,None,None,None,None,None,None,None,None,None,58042030.0,-37.1337365202592,-70.3969231250344
1,BUENOS AIRES,328,Escobar,2593,Belen de Escobar,SI,SI,None,SI,SI,SI,SI,SI,SI,6252010.0,-34.3516704130246,-58.7832526742638
1,BUENOS AIRES,328,Escobar,2594,El cazador,None,SI,None,SI,None,None,SI,SI,SI,6252010.0,-34.3034904902207,-58.7811274560113
1,BUENOS AIRES,328,Escobar,2595,Garín,SI,SI,None,SI,SI,SI,SI,SI,SI,6252010.0,-34.428785229178,-58.7361732596546
1,BUENOS AIRES,328,Escobar,2596,Ingeniero Maschwitz,SI,SI,None,SI,None,SI,SI,SI,SI,6252010.0,-34.3790006332322,-58.7303342412363
