Id_Provincia,Provincia,Fecha,Accesos por cada 100 hab
23,Tierra Del Fuego,2023-03-31,30.9
24,Tucumán,2023-03-31,14.95
1,Buenos Aires,2022-12-31,26.72
2,Capital Federal,2022-12-31,50.35
3,Catamarca,2022-12-31,16.73
4,Chaco,2022-12-31,11.66
5,Chubut,2022-12-31,26.23
6,Córdoba,2022-12-31,27.26
7,Corrientes,2022-12-31,13.6
8,Entre Ríos,2022-12-31,19.14
9,Formosa,2022-12-31,10.03
10,Jujuy,2022-12-31,14.95
11,La Pampa,2022-12-31,31.23
12,La Rioja,2022-12-31,21.26
13,Mendoza,2022-12-31,14.33
14,Misiones,2022-12-31,14.39
15,Neuquén,2022-12-31,23.41
16,Río Negro,2022-12-31,21.04
17,Salta,2022-12-31,14.04
18,San Juan,2022-12-31,12.96
19,San Luis,2022-12-31,25.83
20,Santa Cruz,2022-12-31,12.95
21,Santa Fe,2022-12-31,24.65
22,Santiago Del Estero,2022-12-31,11.92
23,Tierra Del Fuego,2022-12-31,30.07
24,Tucumán,2022-12-31,15.12
1,Buenos Aires,2022-09-30,26.37
2,Capital Federal,2022-09-30,50.22
3,Catamarca,2022-09-30,16.62
4,Chaco,2022-09-30,11.72
5,Chubut,2022-09-30,25.86
6,Córdoba,2022-09-30,27.04
7,Corrientes,2022-09-30,12.69
8,Entre Ríos,2022-09-30,19.04
9,Formosa,2022-09-30,11.14
10,Jujuy,2022-09-30,15.06
11,La Pampa,2022-09-30,31.82
12,La Rioja,2022-09-30,21.47
13,Mendoza,2022-09-30,14.24
14,Misiones,2022-09-30,14.11
15,Neuquén,2022-09-30,23.92
16,Río Negro,2022-09-30,20.91
17,Salta,2022-09-30,13.99
18,San Juan,2022-09-30,12.94
19,San Luis,2022-09-30,23.39
20,Santa Cruz,2022-09-30,12.85
21,Santa Fe,2022-09-30,24.7
22,Santiago Del Estero,2022-09-30,11.91
23,Tierra Del Fuego,2022-09-30,29.5
24,Tucumán,2022-09-30,15.14
1,Buenos Aires,2022-06-30,26.1292712783274
2,Capital Federal,2022-06-30,49.8735612562611
3,Catamarca,2022-06-30,15.8717901952471
4,Chaco,2022-06-30,11.7025439036955
5,Chubut,2022-06-30,25.4999193362706
6,Córdoba,2022-06-30,26.7815908411335
7,Corrientes,2022-06-30,12.7321469653836
8,Entre Ríos,2022-06-30,19.1046859506594
9,Formosa,2022-06-30,11.0498145911401
10,Jujuy,2022-06-30,14.6569135245407
11,La Pampa,2022-06-30,30.6327215596658
12,La Rioja,2022-06-30,21.3314092169144
13,Mendoza,2022-06-30,13.7822337845706
14,Misiones,2022-06-30,13.8900281819679
15,Neuquén,2022-06-30,23.8174575281712
16,Río Negro,2022-06-30,20.8675435273834
17,Salta,2022-06-30,13.9360105574487
18,San Juan,2022-06-30,12.5979124556312
19,San Luis,2022-06-30,23.3969726787719
20,Santa Cruz,2022-06-30,12.8396228385264
21,Santa Fe,2022-06-30,24.4959067991646
22,Santiago Del Estero,2022-06-30,11.8367379681289
23,Tierra Del Fuego,2022-06-30,29.604955264969
24,Tucumán,2022-06-30,14.6914572899128
1,Buenos Aires,2022-03-31,25.5630301520284
2,Capital Federal,2022-03-31,46.0143476214435
3,Catamarca,2022-03-31,14.8056195749953
4,Chaco,2022-03-31,11.7753420404361
5,Chubut,2022-03-31,26.9887596631044
6,Córdoba,2022-03-31,26.2552622183512
7,Corrientes,2022-03-31,12.5452812873128
8,Entre Ríos,2022-03-31,19.0454052709211
9,Formosa,2022-03-31,8.89642743559843
10,Jujuy,2022-03-31,14.8476418286294
11,La Pampa,2022-03-31,30.2004150314026
12,La Rioja,2022-03-31,20.9691741722694
13,Mendoza,2022-03-31,13.5994765497552
14,Misiones,2022-03-31,13.3575393367025
15,Neuquén,2022-03-31,22.0774604260943
16,Río Negro,2022-03-31,20.6182298408439
17,Salta,2022-03-31,13.5881660533538
18,San Juan,2022-03-31,11.0921164686066
19,San Luis,2022-03-31,23.1016562316874
20,Santa Cruz,2022-03-31,12.8942973288096
21,Santa Fe,2022-03-31,24.3073969989344
22,Santiago Del Estero,2022-03-31,11.7068821320295
23,Tierra Del Fuego,2022-03-31,29.1386510406859
24,Tucumán,2022-03-31,14.2155333342981
1,Buenos Aires,2021-12-31,25.3625141144029
2,Capital Federal,2021-12-31,45.8485107145629
3,Catamarca,2021-12-31,14.0542237592254
4,Chaco,2021-12-31,11.7723994581641
5,Chubut,2021-12-31,25.309325144657
6,Córdoba,2021-12-31,25.8731537155377
7,Corrientes,2021-12-31,11.9831985526209
8,Entre Ríos,2021-12-31,18.8822776766148
9,Formosa,2021-12-31,8.76886524220062
10,Jujuy,2021-12-31,14.5552419442425
11,La Pampa,2021-12-31,29.509892061531
12,La Rioja,2021-12-31,20.742382050284
13,Mendoza,2021-12-31,13.2562590069906
14,Misiones,2021-12-31,13.3633190432684
15,Neuquén,2021-12-31,21.8175631190774
16,Río Negro,2021-12-31,20.2056135684454
17,Salta,2021-12-31,13.7593376914977
18,San Juan,2021-12-31,10.0841332359703
19,San Luis,2021-12-31,22.9789562419762
20,Santa Cruz,2021-12-31,12.8088213538475
21,Santa Fe,2021-12-31,24.2396579975196
22,Santiago Del Estero,2021-12-31,11.6754404704801
23,Tierra Del Fuego,2021-12-31,29.1710078391825
24,Tucumán,2021-12-31,13.8528804464241
1,Buenos Aires,2021-09-30,23.9698919039995
2,Capital Federal,2021-09-30,45.9003834652686
3,Catamarca,2021-09-30,13.4074723766124
4,Chaco,2021-09-30,11.4821345600996
5,Chubut,2021-09-30,24.7383755028802
6,Córdoba,2021-09-30,24.8859576286757
7,Corrientes,2021-09-30,11.8228555121759
8,Entre Ríos,2021-09-30,18.5905655958691
9,Formosa,2021-09-30,8.64358218729535
10,Jujuy,2021-09-30,14.240381868424
11,La Pampa,2021-09-30,27.7678911910512
12,La Rioja,2021-09-30,20.5659645302194
13,Mendoza,2021-09-30,12.710228113581
14,Misiones,2021-09-30,12.4117725813258
15,Neuquén,2021-09-30,20.7481620211386
16,Río Negro,2021-09-30,19.059250627465
17,Salta,2021-09-30,13.5535260221222
18,San Juan,2021-09-30,10.0502366420225
19,San Luis,2021-09-30,22.8574088187895
20,Santa Cruz,2021-09-30,13.0162543718839
21,Santa Fe,2021-09-30,23.5881524458178
22,Santiago Del Estero,2021-09-30,11.6607366908917
23,Tierra Del Fuego,2021-09-30,28.1501701128294
24,Tucumán,2021-09-30,13.5334467757118
1,Buenos Aires,2021-06-30,23.352473727873
2,Capital Federal,2021-06-30,45.4871904812949
3,Catamarca,2021-06-30,13.3137486714673
4,Chaco,2021-06-30,11.5800413405394
5,Chubut,2021-06-30,22.1597817714202
6,Córdoba,2021-06-30,24.5284062912537
7,Corrientes,2021-06-30,11.4650645801296
8,Entre Ríos,2021-06-30,18.4356806329179
9,Formosa,2021-06-30,8.45629304957047
10,Jujuy,2021-06-30,14.3667840692187
11,La Pampa,2021-06-30,27.0435584401919
12,La Rioja,2021-06-30,20.4915850957506
13,Mendoza,2021-06-30,11.4338470668006
14,Misiones,2021-06-30,12.2601465948529
15,Neuquén,2021-06-30,20.5802361256459
16,Río Negro,2021-06-30,19.0520518601284
17,Salta,2021-06-30,13.3034413913845
18,San Juan,2021-06-30,10.0067190669371
19,San Luis,2021-06-30,23.8905552767436
