Id_Provincia,Provincia,Fecha,Accesos por cada 100 hogares
23,Tierra Del Fuego,2023-03-31,104.23
24,Tucumán,2023-03-31,60.34
1,Buenos Aires,2022-12-31,78.94
2,Capital Federal,2022-12-31,122.73
3,Catamarca,2022-12-31,65.77
4,Chaco,2022-12-31,43.62
5,Chubut,2022-12-31,85.57
6,Córdoba,2022-12-31,89.03
7,Corrientes,2022-12-31,51.64
8,Entre Ríos,2022-12-31,64.01
9,Formosa,2022-12-31,39.41
10,Jujuy,2022-12-31,58.46
11,La Pampa,2022-12-31,94.8
12,La Rioja,2022-12-31,79.86
13,Mendoza,2022-12-31,51.36
14,Misiones,2022-12-31,52.85
15,Neuquén,2022-12-31,78.67
16,Río Negro,2022-12-31,68.42
17,Salta,2022-12-31,57.96
18,San Juan,2022-12-31,50.88
19,San Luis,2022-12-31,90.27
20,Santa Cruz,2022-12-31,43.53
21,Santa Fe,2022-12-31,78.4
22,Santiago Del Estero,2022-12-31,48.05
23,Tierra Del Fuego,2022-12-31,101.44
24,Tucumán,2022-12-31,61.04
1,Buenos Aires,2022-09-30,78.11
2,Capital Federal,2022-09-30,122.28
3,Catamarca,2022-09-30,65.33
4,Chaco,2022-09-30,43.86
5,Chubut,2022-09-30,84.38
6,Córdoba,2022-09-30,88.31
7,Corrientes,2022-09-30,48.21
8,Entre Ríos,2022-09-30,63.67
9,Formosa,2022-09-30,43.76
10,Jujuy,2022-09-30,58.91
11,La Pampa,2022-09-30,96.59
12,La Rioja,2022-09-30,80.66
13,Mendoza,2022-09-30,51.03
14,Misiones,2022-09-30,51.82
15,Neuquén,2022-09-30,80.37
16,Río Negro,2022-09-30,67.98
17,Salta,2022-09-30,57.76
18,San Juan,2022-09-30,50.8
19,San Luis,2022-09-30,81.74
20,Santa Cruz,2022-09-30,43.19
21,Santa Fe,2022-09-30,78.55
22,Santiago Del Estero,2022-09-30,47.98
23,Tierra Del Fuego,2022-09-30,99.51
24,Tucumán,2022-09-30,61.14
1,Buenos Aires,2022-06-30,77.58
2,Capital Federal,2022-06-30,121.31
3,Catamarca,2022-06-30,62.4
4,Chaco,2022-06-30,43.79
5,Chubut,2022-06-30,83.19
6,Córdoba,2022-06-30,87.48
7,Corrientes,2022-06-30,48.35
8,Entre Ríos,2022-06-30,63.9
9,Formosa,2022-06-30,43.42
10,Jujuy,2022-06-30,57.32
11,La Pampa,2022-06-30,92.98
12,La Rioja,2022-06-30,80.14
13,Mendoza,2022-06-30,49.39
14,Misiones,2022-06-30,51.0
15,Neuquén,2022-06-30,80.02
16,Río Negro,2022-06-30,67.85
17,Salta,2022-06-30,57.54
18,San Juan,2022-06-30,49.46
19,San Luis,2022-06-30,81.76
20,Santa Cruz,2022-06-30,43.15
21,Santa Fe,2022-06-30,77.9
22,Santiago Del Estero,2022-06-30,47.7
23,Tierra Del Fuego,2022-06-30,99.86
24,Tucumán,2022-06-30,59.31
1,Buenos Aires,2022-03-31,76.0781466115726
2,Capital Federal,2022-03-31,111.797862691747
3,Catamarca,2022-03-31,58.2063508356117
4,Chaco,2022-03-31,44.0594800994188
5,Chubut,2022-03-31,88.0527409383577
6,Córdoba,2022-03-31,85.7574535631355
7,Corrientes,2022-03-31,47.6446351415023
8,Entre Ríos,2022-03-31,63.7009034712316
9,Formosa,2022-03-31,34.9556869957513
10,Jujuy,2022-03-31,58.0646286642678
11,La Pampa,2022-03-31,91.6633253140871
12,La Rioja,2022-03-31,78.774598665645
13,Mendoza,2022-03-31,48.7352409355834
14,Misiones,2022-03-31,49.0433419977295
15,Neuquén,2022-03-31,74.1730550999272
16,Río Negro,2022-03-31,67.0364075498703
17,Salta,2022-03-31,56.1075934084976
18,San Juan,2022-03-31,43.5459816093316
19,San Luis,2022-03-31,80.7242306060177
20,Santa Cruz,2022-03-31,43.3384231105305
21,Santa Fe,2022-03-31,77.304584747584
22,Santiago Del Estero,2022-03-31,47.1727383932405
23,Tierra Del Fuego,2022-03-31,98.2905503867279
24,Tucumán,2022-03-31,57.3900322723119
1,Buenos Aires,2021-12-31,75.6641060233847
2,Capital Federal,2021-12-31,111.270026128917
3,Catamarca,2021-12-31,55.2526999859741
4,Chaco,2021-12-31,44.0485638902593
5,Chubut,2021-12-31,82.5734006387143
6,Córdoba,2021-12-31,84.5094185304609
7,Corrientes,2021-12-31,45.5101610294635
8,Entre Ríos,2021-12-31,63.1553614361658
9,Formosa,2021-12-31,34.4545746388443
10,Jujuy,2021-12-31,56.9210705148705
11,La Pampa,2021-12-31,89.5673427024131
12,La Rioja,2021-12-31,77.9234900964576
13,Mendoza,2021-12-31,47.5053170903177
14,Misiones,2021-12-31,49.064620730585
15,Neuquén,2021-12-31,73.3001625402001
16,Río Negro,2021-12-31,65.6948996116065
17,Salta,2021-12-31,56.8144260576222
18,San Juan,2021-12-31,39.5888518648717
19,San Luis,2021-12-31,80.2957828313538
20,Santa Cruz,2021-12-31,43.0512146611735
21,Santa Fe,2021-12-31,77.0892017943923
22,Santiago Del Estero,2021-12-31,47.0459491943867
23,Tierra Del Fuego,2021-12-31,98.4006164486543
24,Tucumán,2021-12-31,55.9259910242439
1,Buenos Aires,2021-09-30,71.6821894010193
2,Capital Federal,2021-09-30,111.271055142509
3,Catamarca,2021-09-30,52.7097934860013
4,Chaco,2021-09-30,42.9624100796766
5,Chubut,2021-09-30,80.7097384765756
6,Córdoba,2021-09-30,81.2845665540848
7,Corrientes,2021-09-30,44.9008831266441
8,Entre Ríos,2021-09-30,62.1794014538577
9,Formosa,2021-09-30,33.9620335406843
10,Jujuy,2021-09-30,55.6892647441935
11,La Pampa,2021-09-30,84.2799630965361
12,La Rioja,2021-09-30,77.2601606138685
13,Mendoza,2021-09-30,45.548284680561
14,Misiones,2021-09-30,45.5706536580879
15,Neuquén,2021-09-30,69.7065334450161
16,Río Negro,2021-09-30,61.9672131147541
17,Salta,2021-09-30,55.9642780595842
18,San Juan,2021-09-30,39.4554480019856
19,San Luis,2021-09-30,79.8704334921291
20,Santa Cruz,2021-09-30,43.7473202801201
21,Santa Fe,2021-09-30,75.0170476272823
22,Santiago Del Estero,2021-09-30,47.0
23,Tierra Del Fuego,2021-09-30,94.9538682598503
24,Tucumán,2021-09-30,54.636044861008
1,Buenos Aires,2021-06-30,70.0033033602797
2,Capital Federal,2021-06-30,110.144402032121
3,Catamarca,2021-06-30,52.3403096626386
4,Chaco,2021-06-30,43.3276272929354
5,Chubut,2021-06-30,72.2941048193647
6,Córdoba,2021-06-30,80.1151879593124
7,Corrientes,2021-06-30,43.5411637336848
8,Entre Ríos,2021-06-30,61.6602644647879
9,Formosa,2021-06-30,33.2254841932261
10,Jujuy,2021-06-30,56.1821570114677
11,La Pampa,2021-06-30,82.080006723254
12,La Rioja,2021-06-30,76.9786615851933
13,Mendoza,2021-06-30,40.9732418261709
14,Misiones,2021-06-30,45.0128113119994
15,Neuquén,2021-06-30,69.1402108463862
16,Río Negro,2021-06-30,61.9420405741775
17,Salta,2021-06-30,54.9300901747889
18,San Juan,2021-06-30,39.2840257006206
19,San Luis,2021-06-30,83.4781072006307
20,Santa Cruz,2021-06-30,44.0149166554342
21,Santa Fe,2021-06-30,75.0687862629301
22,Santiago Del Estero,2021-06-30,46.5572753649211
23,Tierra Del Fuego,2021-06-30,67.8858077522918
24,Tucumán,2021-06-30,54.928196510348
1,Buenos Aires,2021-03-31,69.1052407618594
2,Capital Federal,2021-03-31,108.419939223293
3,Catamarca,2021-03-31,48.8990929278482
4,Chaco,2021-03-31,43.1364924170879
5,Chubut,2021-03-31,68.9942808881567
6,Córdoba,2021-03-31,78.5902806238002
7,Corrientes,2021-03-31,42.6641284388214
8,Entre Ríos,2021-03-31,60.4394497283423
9,Formosa,2021-03-31,32.7329557563272
10,Jujuy,2021-03-31,55.6324478962054
11,La Pampa,2021-03-31,81.7767634575221
12,La Rioja,2021-03-31,49.8069351907935
13,Mendoza,2021-03-31,39.1536615289964
14,Misiones,2021-03-31,43.1724389059718
15,Neuquén,2021-03-31,66.8420894204527
16,Río Negro,2021-03-31,60.8792403032577
17,Salta,2021-03-31,53.9300192633909
18,San Juan,2021-03-31,39.0551943353576
19,San Luis,2021-03-31,81.2373017712751
20,Santa Cruz,2021-03-31,41.6478310399074
21,Santa Fe,2021-03-31,73.9165640702618
22,Santiago Del Estero,2021-03-31,45.6730828236546
23,Tierra Del Fuego,2021-03-31,77.3493560917737
24,Tucumán,2021-03-31,54.8189225412539
1,Buenos Aires,2020-12-31,68.9770222017074
2,Capital Federal,2020-12-31,108.311074890435
3,Catamarca,2020-12-31,49.4068835454974
4,Chaco,2020-12-31,43.0307886497791
5,Chubut,2020-12-31,68.3518991582562
6,Córdoba,2020-12-31,78.0796087633819
7,Corrientes,2020-12-31,42.428283946949
8,Entre Ríos,2020-12-31,59.4743067609738
9,Formosa,2020-12-31,32.4873819075967
10,Jujuy,2020-12-31,53.4565912339089
11,La Pampa,2020-12-31,81.7679324894515
12,La Rioja,2020-12-31,50.1106121170115
